date,repo,number,title,pr_type,fix_source,issue_number,issue_author,url
2026-05-14,fullsend,967,feat: add FULLSEND_PER_REPO_INSTALL guard variable,feat,,,,https://github.com/fullsend-ai/fullsend/pull/967
2026-05-14,fullsend,952,fix(review-agent): reduce review comment verbosity,fix,unlinked,,,https://github.com/fullsend-ai/fullsend/pull/952
2026-05-14,fullsend,936,fix(#933): use .yaml extension for shim workflow path,fix,core,933,rh-hemartin,https://github.com/fullsend-ai/fullsend/pull/936
2026-05-14,fullsend,931,fix(mint): route per-org workflow_call repos to default WIF provider,fix,unlinked,,,https://github.com/fullsend-ai/fullsend/pull/931
2026-05-14,fullsend,920,fix(#910): use repository_owner in WIF attribute conditions,fix,core,910,rh-hemartin,https://github.com/fullsend-ai/fullsend/pull/920
2026-05-14,fullsend,905,feat: rename GCP CLI flags to provider-agnostic inference flags,feat,,,,https://github.com/fullsend-ai/fullsend/pull/905
2026-05-14,fullsend,904,feat: validate mint infrastructure during per-repo install,feat,,,,https://github.com/fullsend-ai/fullsend/pull/904
2026-05-14,fullsend,889,docs: clarify accepted input formats for merge-queue skill,docs,,,,https://github.com/fullsend-ai/fullsend/pull/889
2026-05-14,fullsend,875,docs(skills): restructure spec-start qna.md as flat Q-NN log,docs,,,,https://github.com/fullsend-ai/fullsend/pull/875
2026-05-14,fullsend,874,feat(review-agent): add outcome labels to post-review.sh,feat,,,,https://github.com/fullsend-ai/fullsend/pull/874
2026-05-14,fullsend,843,fix: install uvx in post-code and post-fix scripts,fix,unlinked,,,https://github.com/fullsend-ai/fullsend/pull/843
2026-05-14,fullsend,828,feat(appsetup): add retro agent app configuration,feat,,,,https://github.com/fullsend-ai/fullsend/pull/828
2026-05-14,fullsend,815,feat: add gopls LSP plugin support for Claude code running in the sandbox,feat,,,,https://github.com/fullsend-ai/fullsend/pull/815
2026-05-14,fullsend,799,feat: add per-repo installation mode (ADR 0033),feat,,,,https://github.com/fullsend-ai/fullsend/pull/799
2026-05-14,fullsend,729,feat(review agent): anchor severity across re-reviews,feat,,,,https://github.com/fullsend-ai/fullsend/pull/729
2026-05-14,fullsend,717,feat: add docs-review skill for documentation staleness detection,feat,,,,https://github.com/fullsend-ai/fullsend/pull/717
2026-05-14,fullsend,473,fix: skip code agent when human PR already exists for issue,fix,unlinked,,,https://github.com/fullsend-ai/fullsend/pull/473
2026-05-14,fullsend,389,docs: add adaptive agent selection problem document,docs,,,,https://github.com/fullsend-ai/fullsend/pull/389
2026-05-15,fullsend,1045,fix: clear local repo unconditionally before SafeDownload,fix,unlinked,,,https://github.com/fullsend-ai/fullsend/pull/1045
2026-05-15,fullsend,1038,fix: clear local repo dir before re-extracting on validation loop iteration 2+,fix,unlinked,,,https://github.com/fullsend-ai/fullsend/pull/1038
2026-05-15,fullsend,1035,feat: embed mint source for standalone binary,feat,,,,https://github.com/fullsend-ai/fullsend/pull/1035
2026-05-15,fullsend,1033,fix: always write inference secrets on install,fix,unlinked,,,https://github.com/fullsend-ai/fullsend/pull/1033
2026-05-15,fullsend,1028,chore: update fullsend shim workflow,chore,,,,https://github.com/fullsend-ai/fullsend/pull/1028
2026-05-15,fullsend,1023,fix: add extract-transcript-error.sh to executableFiles,fix,unlinked,,,https://github.com/fullsend-ai/fullsend/pull/1023
2026-05-15,fullsend,1021,fix: correct dispatch stage-to-role mappings and default roles,fix,unlinked,,,https://github.com/fullsend-ai/fullsend/pull/1021
2026-05-15,fullsend,1019,fix: detect stale PEM when GitHub App is deleted and recreated,fix,unlinked,,,https://github.com/fullsend-ai/fullsend/pull/1019
2026-05-15,fullsend,1018,docs: note per-org preference for fullsend-ai self-install,docs,,,,https://github.com/fullsend-ai/fullsend/pull/1018
2026-05-15,fullsend,1015,docs: add complete CLI flags reference to installation guide,docs,,,,https://github.com/fullsend-ai/fullsend/pull/1015
2026-05-15,fullsend,1010,feat: validate --inference-wif-provider format,feat,,,,https://github.com/fullsend-ai/fullsend/pull/1010
2026-05-15,fullsend,1009,fix(#1008): add opened/edited triggers to per-repo shim,fix,core,1008,rh-hemartin,https://github.com/fullsend-ai/fullsend/pull/1009
2026-05-15,fullsend,998,fix: use actions_variables instead of variables for GitHub API key,fix,unlinked,,,https://github.com/fullsend-ai/fullsend/pull/998
2026-05-15,fullsend,995,fix: add variables:read permission for per-repo guard check,fix,unlinked,,,https://github.com/fullsend-ai/fullsend/pull/995
2026-05-15,fullsend,994,feat: parameterize app set prefix for GitHub App selection,feat,,,,https://github.com/fullsend-ai/fullsend/pull/994
2026-05-15,fullsend,991,feat: add --skip-mint-check for self-provisioned mint services,feat,,,,https://github.com/fullsend-ai/fullsend/pull/991
2026-05-15,fullsend,972,chore(review-agent): add protected-path check to pr-review skill,chore,,,,https://github.com/fullsend-ai/fullsend/pull/972
2026-05-15,fullsend,968,fix(#958): allow retro agent to download GitHub Actions artifacts,fix,core,958,ralphbean,https://github.com/fullsend-ai/fullsend/pull/968
2026-05-15,fullsend,964,fix(#962): fix section numbering collision in post-fix.sh,fix,bot,962,fullsend-ai-retro[bot],https://github.com/fullsend-ai/fullsend/pull/964
2026-05-15,fullsend,954,docs(roadmap): revise to reflect post-MVP reality,docs,,,,https://github.com/fullsend-ai/fullsend/pull/954
2026-05-15,fullsend,953,feat(review-agent): post review findings as inline PR diff comments,feat,,,,https://github.com/fullsend-ai/fullsend/pull/953
2026-05-15,fullsend,949,feat(triage): contextual issue labels,feat,,,,https://github.com/fullsend-ai/fullsend/pull/949
2026-05-15,fullsend,930,refactor: unify mint provisioning and harden URL validation,other,,,,https://github.com/fullsend-ai/fullsend/pull/930
2026-05-15,fullsend,929,fix(e2e): queue concurrent runs instead of cancelling,fix,unlinked,,,https://github.com/fullsend-ai/fullsend/pull/929
2026-05-15,fullsend,928,feat: namespace slash commands with /fs- prefix,feat,,,,https://github.com/fullsend-ai/fullsend/pull/928
2026-05-15,fullsend,764,feat(#704): surface agent errors in workflow logs,feat,,,,https://github.com/fullsend-ai/fullsend/pull/764
2026-05-15,fullsend,722,Add implementation plan for universal harness access,other,,,,https://github.com/fullsend-ai/fullsend/pull/722
2026-05-16,fullsend,1059,fix(mint): accept job_workflow_ref from registered per-repo repos,fix,unlinked,,,https://github.com/fullsend-ai/fullsend/pull/1059
2026-05-16,fullsend,1058,docs(adr-35): cover per-repo install mode in layered content resolution,docs,,,,https://github.com/fullsend-ai/fullsend/pull/1058
2026-05-16,fullsend,1054,fix: add lychee to code image and fix tar extraction in post-scripts,fix,unlinked,,,https://github.com/fullsend-ai/fullsend/pull/1054
2026-05-16,fullsend,1053,fix(retro): use REST API for PR comments to avoid pull_requests:write,fix,unlinked,,,https://github.com/fullsend-ai/fullsend/pull/1053
2026-05-16,fullsend,1049,fix(retro): harden output schema instructions to prevent extra properties,fix,unlinked,,,https://github.com/fullsend-ai/fullsend/pull/1049
2026-05-16,fullsend,906,feat: disable fix agent auto-run on human-authored PRs,feat,,,,https://github.com/fullsend-ai/fullsend/pull/906
2026-05-17,fullsend,1063,fix(dispatch): restore /fs- prefix on slash commands,fix,unlinked,,,https://github.com/fullsend-ai/fullsend/pull/1063
2026-05-17,fullsend,821,docs(skills): add spec-start-github for issue-driven spec PRs,docs,,,,https://github.com/fullsend-ai/fullsend/pull/821
2026-05-18,fullsend,1119,fix: raise mint maxRepos from 100 to 500,fix,unlinked,,,https://github.com/fullsend-ai/fullsend/pull/1119
2026-05-18,fullsend,1112,fix(review-agent): move output schema from pr-review skill to agent definition,fix,unlinked,,,https://github.com/fullsend-ai/fullsend/pull/1112
2026-05-18,fullsend,1108,fix: accept result.json as fallback in output validation,fix,unlinked,,,https://github.com/fullsend-ai/fullsend/pull/1108
2026-05-18,fullsend,1087,docs: add CLI architecture deep-dive guides,docs,,,,https://github.com/fullsend-ai/fullsend/pull/1087
2026-05-18,fullsend,1074,fix: remove empty secrets section from shim workflow-call template,fix,unlinked,,,https://github.com/fullsend-ai/fullsend/pull/1074
2026-05-18,fullsend,1071,fix(sandbox): upload .git directory separately into sandbox,fix,unlinked,,,https://github.com/fullsend-ai/fullsend/pull/1071
2026-05-18,fullsend,1062,chore(deps): bump github.com/go-jose/go-jose/v3 from 3.0.4 to 3.0.5,chore,,,,https://github.com/fullsend-ai/fullsend/pull/1062
2026-05-18,fullsend,1040,fix: filter inline review comments to files in the PR diff,fix,unlinked,,,https://github.com/fullsend-ai/fullsend/pull/1040
2026-05-19,fullsend,1190,docs(admin): add guide for enabling fullsend on private repositories,docs,,,,https://github.com/fullsend-ai/fullsend/pull/1190
2026-05-19,fullsend,1187,fix(dispatch): map fix stage to coder role in config check,fix,unlinked,,,https://github.com/fullsend-ai/fullsend/pull/1187
