date,repo,type,event,number,actor,title,url
2026-08-05,fullsend,pr,reviewed_external,5788,dhshah13,"fix(#5537): remove duplicate token/cost attributes from root span",https://github.com/fullsend-ai/fullsend/pull/5788
2026-07-28,fullsend,pr,reviewed_external,5678,deboer-tim,"docs(#5677): replace ASCII box table with markdown table",https://github.com/fullsend-ai/fullsend/pull/5678
2026-07-27,fullsend,pr,reviewed_external,5646,cgwalters,"docs(problems): sharpen gh-aw comparison in platform-nativeness",https://github.com/fullsend-ai/fullsend/pull/5646
2026-07-27,fullsend,pr,reviewed_external,5646,cgwalters,"docs(problems): sharpen gh-aw comparison in platform-nativeness",https://github.com/fullsend-ai/fullsend/pull/5646
2026-08-02,fullsend,pr,reviewed_external,5562,HofniGartner,"fix(telemetry)!: respect OTEL variables default behaviour",https://github.com/fullsend-ai/fullsend/pull/5562
2026-08-04,fullsend,pr,reviewed_external,4905,deboer-tim,"docs: add crawl-walk-run-fly adoption guide",https://github.com/fullsend-ai/fullsend/pull/4905
2026-08-04,fullsend,pr,reviewed_external,4905,deboer-tim,"docs: add crawl-walk-run-fly adoption guide",https://github.com/fullsend-ai/fullsend/pull/4905
2026-08-04,fullsend,pr,reviewed_external,4905,deboer-tim,"docs: add crawl-walk-run-fly adoption guide",https://github.com/fullsend-ai/fullsend/pull/4905
2026-08-04,fullsend,pr,reviewed_external,4905,deboer-tim,"docs: add crawl-walk-run-fly adoption guide",https://github.com/fullsend-ai/fullsend/pull/4905
2026-08-04,fullsend,pr,reviewed_external,4905,deboer-tim,"docs: add crawl-walk-run-fly adoption guide",https://github.com/fullsend-ai/fullsend/pull/4905
2026-08-04,fullsend,pr,reviewed_external,4905,deboer-tim,"docs: add crawl-walk-run-fly adoption guide",https://github.com/fullsend-ai/fullsend/pull/4905
2026-08-04,fullsend,pr,reviewed_external,4905,deboer-tim,"docs: add crawl-walk-run-fly adoption guide",https://github.com/fullsend-ai/fullsend/pull/4905
2026-08-04,fullsend,pr,reviewed_external,4905,deboer-tim,"docs: add crawl-walk-run-fly adoption guide",https://github.com/fullsend-ai/fullsend/pull/4905
2026-07-14,fullsend,pr,reviewed_external,4873,cgwalters,"docs(#4863): simplify README.md to link to fullsend.sh website",https://github.com/fullsend-ai/fullsend/pull/4873
2026-07-14,fullsend,pr,reviewed_external,4510,dhshah13,"refactor(telemetry)!: replace bespoke recorder with OTel Go SDK",https://github.com/fullsend-ai/fullsend/pull/4510
2026-07-08,fullsend,pr,reviewed_external,3398,durandom,"docs(agents): clarify default vs. custom agent distinction",https://github.com/fullsend-ai/fullsend/pull/3398
2026-07-08,fullsend,pr,reviewed_external,3398,durandom,"docs(agents): clarify default vs. custom agent distinction",https://github.com/fullsend-ai/fullsend/pull/3398
2026-07-08,fullsend,pr,reviewed_external,3398,durandom,"docs(agents): clarify default vs. custom agent distinction",https://github.com/fullsend-ai/fullsend/pull/3398
2026-07-08,fullsend,pr,reviewed_external,3398,durandom,"docs(agents): clarify default vs. custom agent distinction",https://github.com/fullsend-ai/fullsend/pull/3398
2026-07-08,fullsend,pr,reviewed_external,3398,durandom,"docs(agents): clarify default vs. custom agent distinction",https://github.com/fullsend-ai/fullsend/pull/3398
2026-07-08,fullsend,pr,reviewed_external,3398,durandom,"docs(agents): clarify default vs. custom agent distinction",https://github.com/fullsend-ai/fullsend/pull/3398
2026-07-08,fullsend,pr,reviewed_external,3398,durandom,"docs(agents): clarify default vs. custom agent distinction",https://github.com/fullsend-ai/fullsend/pull/3398
2026-07-09,fullsend,pr,reviewed_external,3398,durandom,"docs(agents): clarify default vs. custom agent distinction",https://github.com/fullsend-ai/fullsend/pull/3398
2026-07-08,fullsend,pr,reviewed_external,3398,durandom,"docs(agents): clarify default vs. custom agent distinction",https://github.com/fullsend-ai/fullsend/pull/3398
2026-07-08,fullsend,pr,reviewed_external,3398,durandom,"docs(agents): clarify default vs. custom agent distinction",https://github.com/fullsend-ai/fullsend/pull/3398
2026-07-08,fullsend,pr,reviewed_external,3398,durandom,"docs(agents): clarify default vs. custom agent distinction",https://github.com/fullsend-ai/fullsend/pull/3398
2026-07-08,fullsend,pr,reviewed_external,3398,durandom,"docs(agents): clarify default vs. custom agent distinction",https://github.com/fullsend-ai/fullsend/pull/3398
2026-07-08,fullsend,pr,reviewed_external,3398,durandom,"docs(agents): clarify default vs. custom agent distinction",https://github.com/fullsend-ai/fullsend/pull/3398
2026-07-08,fullsend,pr,reviewed_external,3398,durandom,"docs(agents): clarify default vs. custom agent distinction",https://github.com/fullsend-ai/fullsend/pull/3398
2026-07-08,fullsend,pr,reviewed_external,3398,durandom,"docs(agents): clarify default vs. custom agent distinction",https://github.com/fullsend-ai/fullsend/pull/3398
2026-07-07,fullsend,pr,reviewed_external,3382,deboer-tim,"feat(cutting-releases): add release highlights step",https://github.com/fullsend-ai/fullsend/pull/3382
2026-07-07,fullsend,pr,reviewed_external,3378,Roming22,"docs(vision): frame autonomy as configurable per workflow",https://github.com/fullsend-ai/fullsend/pull/3378
2026-07-08,fullsend,pr,reviewed_external,3378,Roming22,"docs(vision): frame autonomy as configurable per workflow",https://github.com/fullsend-ai/fullsend/pull/3378
2026-07-07,fullsend,pr,reviewed_external,3378,Roming22,"docs(vision): frame autonomy as configurable per workflow",https://github.com/fullsend-ai/fullsend/pull/3378
2026-07-07,fullsend,pr,reviewed_external,3378,Roming22,"docs(vision): frame autonomy as configurable per workflow",https://github.com/fullsend-ai/fullsend/pull/3378
2026-07-08,fullsend,pr,reviewed_external,2850,Roming22,"docs: July 2026 roadmap refresh",https://github.com/fullsend-ai/fullsend/pull/2850
2026-07-09,fullsend,pr,reviewed_external,2850,Roming22,"docs: July 2026 roadmap refresh",https://github.com/fullsend-ai/fullsend/pull/2850
2026-07-09,fullsend,pr,reviewed_external,2850,Roming22,"docs: July 2026 roadmap refresh",https://github.com/fullsend-ai/fullsend/pull/2850
2026-07-08,fullsend,pr,reviewed_external,2850,Roming22,"docs: July 2026 roadmap refresh",https://github.com/fullsend-ai/fullsend/pull/2850
2026-07-08,fullsend,pr,reviewed_external,2850,Roming22,"docs: July 2026 roadmap refresh",https://github.com/fullsend-ai/fullsend/pull/2850
2026-07-09,fullsend,pr,reviewed_external,2850,Roming22,"docs: July 2026 roadmap refresh",https://github.com/fullsend-ai/fullsend/pull/2850
2026-07-01,fullsend,pr,reviewed_external,2850,dhshah13,"docs: July 2026 roadmap refresh",https://github.com/fullsend-ai/fullsend/pull/2850
2026-07-02,fullsend,pr,reviewed_external,2850,dhshah13,"docs: July 2026 roadmap refresh",https://github.com/fullsend-ai/fullsend/pull/2850
2026-07-09,fullsend,pr,reviewed_external,2850,Roming22,"docs: July 2026 roadmap refresh",https://github.com/fullsend-ai/fullsend/pull/2850
2026-06-28,fullsend,pr,reviewed_external,2725,ragnar-howler,"feat(#2722): add reader role for self-minting tokens during harness loading",https://github.com/fullsend-ai/fullsend/pull/2725
2026-06-24,fullsend,pr,reviewed_external,2584,mrizzi,"docs: sandbox layout, skill precedence, and agent rule layering",https://github.com/fullsend-ai/fullsend/pull/2584
2026-06-24,fullsend,pr,reviewed_external,2584,mrizzi,"docs: sandbox layout, skill precedence, and agent rule layering",https://github.com/fullsend-ai/fullsend/pull/2584
2026-07-02,fullsend,pr,reviewed_external,2583,dhshah13,"docs(adr): ADR 0067 — GitLab cron-polling event dispatch",https://github.com/fullsend-ai/fullsend/pull/2583
2026-07-02,fullsend,pr,reviewed_external,2583,dhshah13,"docs(adr): ADR 0067 — GitLab cron-polling event dispatch",https://github.com/fullsend-ai/fullsend/pull/2583
2026-06-24,fullsend,pr,reviewed_external,2549,tnevrlka,"docs(problems): Add debugging problem doc for agentic systems",https://github.com/fullsend-ai/fullsend/pull/2549
2026-06-24,fullsend,pr,reviewed_external,2549,tnevrlka,"docs(problems): Add debugging problem doc for agentic systems",https://github.com/fullsend-ai/fullsend/pull/2549
